Total Population,Median Gross Rent,Median Household Income,Poverty_Rate,Vacancy_Rate,Renter_Household_Rate,Cost_Burdened_Rate,Unemployment_Rate,"Total Year-Round Beds (ES, TH, SH)",Average Temperature,Overall Homeless,Overall Homeless Individuals,Overall Homeless People in Families,Unsheltered Homeless,Sheltered Total Homeless,Overall_Homeless_Per_Capita,Overall_Homeless_Individuals_Per_Capita,Overall_Homeless_People_in_Families_Per_Capita,Unsheltered_Homeless_Per_Capita,Sheltered_Homeless_Per_Capita
183851,35115,1923380,18.97025309,16.35998164,36.60099691,50.80658236,7.3064509,,43,196,170,26,4,192,0.001066081,0.000924662,0.000141419,2.18E-05,0.001044324
183851,35115,1923380,18.97025309,16.35998164,36.60099691,50.80658236,7.3064509,,45.3,270,202,68,9,261,0.001468581,0.001098716,0.000369865,4.90E-05,0.001419628
183851,35115,1923380,18.97025309,16.35998164,36.60099691,50.80658236,7.3064509,,40,278,271,7,15,263,0.001512094,0.00147402,3.81E-05,8.16E-05,0.001430506
186982,36231,1974235,19.17082928,18.03858246,36.35915882,50.88050573,7.3064509,,41.1,265,257,8,29,236,0.001417249,0.001374464,4.28E-05,0.000155095,0.001262154
194254,37764,2061452,18.2729828,19.99175403,35.99876323,49.22290389,7.975874186,,50.1,152,99,53,24,128,0.000782481,0.000509642,0.000272839,0.00012355,0.000658931
193830,36849,2028040,18.1339318,20.49645812,36.13860645,49.51311482,8.16031424,,50,99,72,27,4,95,0.000510757,0.00037146,0.000139297,2.06E-05,0.00049012
190678,36430,1991259,17.94963236,21.39946556,36.4356588,48.98036732,8.359525057,155,37.3,245,167,78,112,133,0.001284889,0.000875822,0.000409067,0.000587378,0.000697511
197552,38116,2082964,18.23114927,20.52581787,36.53905504,48.73909021,7.637826445,198,43.6,339,188,151,195,144,0.001716004,0.000951648,0.000764356,0.000987082,0.000728922
195277,35366,2038779,17.55967165,19.93477903,38.04496464,48.06369328,7.242548367,98,43,177,105,72,130,47,0.000906405,0.000537698,0.000368707,0.000665721,0.000240684
196854,37891,2164976,16.97654099,20.06368321,38.28961282,46.41749262,6.95837939,176,52.4,200,140,60,63,137,0.001015981,0.000711187,0.000304794,0.000320034,0.000695947
198672,39595,2245263,17.02907305,20.21617796,37.98515043,46.1358843,6.469143,127,40.4,57,35,22,1,56,0.000286905,0.00017617,0.000110735,5.03E-06,0.000281872
197072,38476,2213569,17.3824795,20.28779309,37.89470629,47.04373133,6.02996453,99,46.5,44,27,17,0,44,0.000223269,0.000137006,8.63E-05,0,0.000223269
165905,41088,2457549,17.8987975,18.97763916,39.67018986,46.98408783,5.906596727,99,49.5,67,57,10,26,41,0.000403846,0.00034357,6.03E-05,0.000156716,0.000247129
174477,42883,2510540,16.8503585,18.55486173,40.46184739,46.07489285,5.33868664,99,46.6,37,33,4,0,37,0.000212062,0.000189137,2.29E-05,0,0.000212062
186653,45877,2692452,15.43613015,14.82189816,40.18198738,47.3126976,5.894488971,95,43.9,40,35,5,1,39,0.000214301,0.000187514,2.68E-05,5.36E-06,0.000208944
186653,45877,2692452,15.43613015,14.82189816,40.18198738,47.3126976,5.894488971,98,51.4,82,56,26,17,65,0.000439318,0.000300022,0.000139296,9.11E-05,0.00034824
1451023,206405,13264257,19.58018584,17.14265315,28.38700991,39.94890183,10.79709487,,46.7,684,463,221,192,492,0.000471392,0.000319085,0.000152306,0.00013232,0.000339071
1451023,206405,13264257,19.58018584,17.14265315,28.38700991,39.94890183,10.79709487,,43,858,692,166,192,666,0.000591307,0.000476905,0.000114402,0.00013232,0.000458987
1451023,206405,13264257,19.58018584,17.14265315,28.38700991,39.94890183,10.79709487,,45.3,1035,829,206,220,815,0.00071329,0.000571321,0.000141969,0.000151617,0.000561673
1451023,206405,13264257,19.58018584,17.14265315,28.38700991,39.94890183,10.79709487,,40,809,691,118,127,682,0.000557538,0.000476216,8.13E-05,8.75E-05,0.000470013
1459180,219210,13625737,20.22512644,17.23681082,28.78099185,40.9061597,10.82201793,,41.1,797,626,171,70,727,0.000546197,0.000429008,0.000117189,4.80E-05,0.000498225
1471515,226496,13747720,20.84749391,17.39113236,29.05917573,41.24590324,11.63090122,,50.1,886,638,248,70,816,0.000602101,0.000433567,0.000168534,4.76E-05,0.000554531
1473282,228827,13613041,21.36278051,17.2816851,29.50462682,41.92065927,12.21875313,,50,905,572,333,308,597,0.000614275,0.000388249,0.000226026,0.000209057,0.000405218
1479922,232109,13871920,21.78344534,17.67745092,29.9166133,41.93254653,11.57840373,554,37.3,716,394,322,172,544,0.000483809,0.00026623,0.000217579,0.000116222,0.000367587
1481895,232843,13925575,21.62717332,18.0027864,30.457868,40.96693591,10.67140729,569,43.6,638,393,245,166,472,0.00043053,0.000265201,0.000165329,0.000112019,0.000318511
1480648,234671,14148865,21.3085757,18.47532398,30.61184959,40.19702889,9.566291388,499,43,827,615,212,368,459,0.000558539,0.000415359,0.000143181,0.00024854,0.000309999
1468401,238689,14623099,20.59260379,19.2148367,30.70470817,39.79380604,8.67032648,461,52.4,764,591,173,348,416,0.000520294,0.000402479,0.000117815,0.000236992,0.000283301
1470292,244447,15207487,20.17429191,20.13024789,30.54155731,39.03208374,7.708490511,461,40.4,730,523,207,290,440,0.0004965,0.000355712,0.000140788,0.00019724,0.00029926
